,Unnamed: 0,title,genre,rating,views,year,duration
151,13011,Suspicion,Drama,7.2,45863,1941,99
152,13117,The Wolf Man,Horror,7.2,34041,1941,70
153,13185,Bambi,Adventure,7.3,163247,1942,69
154,13252,Casablanca,Drama,8.5,648599,1942,102
155,13255,Cat People,Fantasy,7.2,28234,1942,73
156,13432,Holiday Inn,Comedy,7.3,19370,1942,100
157,13444,I Married a Witch,Comedy,7.1,10644,1942,77
158,13540,The Magnificent Ambersons,Drama,7.6,28438,1942,88
159,13592,Mrs. Miniver,Drama,7.6,20915,1942,134
160,13629,"Now, Voyager",Drama,7.8,20439,1942,117
161,13652,The Palm Beach Story,Comedy,7.4,13672,1942,88
162,13678,The Pride of the Yankees,Biography,7.6,12760,1942,128
163,13725,Saboteur,Drama,7.1,29416,1942,109
164,13822,Kate & Leopold,Comedy,6.4,93085,2001,118
165,13831,This Gun for Hire,Crime,7.3,11444,1942,81
166,13842,To Be or Not to Be,Comedy,8.1,48948,1942,99
167,13927,Woman of the Year,Comedy,7.1,11678,1942,114
168,13934,Yankee Doodle Dandy,Biography,7.6,17872,1942,126
169,14060,Le Corbeau,Crime,7.8,11752,1943,92
170,14153,For Whom the Bell Tolls,Adventure,6.8,10975,1943,170
171,14156,Frankenstein Meets the Wolf Man,Fantasy,6.4,10914,1943,74
172,14222,Heaven Can Wait,Comedy,7.3,13229,1943,112
173,14255,I Walked with a Zombie,Drama,7.0,15191,1943,69
174,14323,The Life and Death of Colonel Blimp,Drama,8.0,17946,1943,163
175,14421,The Ox-Bow Incident,Drama,8.0,26840,1943,75
176,14473,Sahara,Action,7.5,10765,1943,97
177,14485,Shadow of a Doubt,Drama,7.8,74570,1943,108
178,14601,Day of Wrath,Drama,8.1,11878,1943,97
179,14679,Arsenic and Old Lace,Comedy,7.9,78190,1944,118
180,14784,Double Indemnity,Crime,8.3,179145,1944,107
181,14843,Gaslight,Crime,7.8,37141,1944,114
182,14853,The Best Years of Our Lives,Drama,8.1,76591,1946,170
183,14857,Going My Way,Comedy,7.0,14640,1944,126
184,14927,Jane Eyre,Drama,7.4,10169,1943,97
185,14957,Laura,Drama,7.9,55134,1944,88
186,14966,Lifeboat,Drama,7.6,33227,1944,97
187,14999,Meet Me in St. Louis,Comedy,7.5,30680,1944,113
188,15030,"Murder, My Sweet",Crime,7.5,16041,1944,95
189,15226,To Have and Have Not,Adventure,7.8,40694,1944,100
190,15247,The Uninvited,Fantasy,7.2,13397,1944,99
191,15284,The Woman in the Window,Crime,7.6,19180,1944,107
192,15312,And Then There Were None,Crime,7.3,18196,1945,97
193,15328,The Bells of St. Mary's,Drama,7.2,10368,1945,126
194,15340,The Body Snatcher,Horror,7.3,11139,1945,78
195,15346,Brief Encounter,Drama,8.0,47875,1945,86
196,15372,Christmas in Connecticut,Comedy,7.3,13600,1945,101
197,15404,Dead of Night,Drama,7.5,15624,1945,77
198,15407,Detour,Crime,7.3,21605,1945,66
199,15430,Children of Paradise,Drama,8.3,22278,1945,189
200,15517,I Know Where I'm Going!,Drama,7.4,11103,1945,92
201,15536,"Ivan the Terrible, Part I",Biography,7.6,11581,1944,95
202,15562,Leave Her to Heaven,Drama,7.6,16385,1945,110
203,15573,The Lost Weekend,Drama,7.9,42803,1945,101
204,15597,Mildred Pierce,Crime,7.9,30836,1945,111
205,15652,The Picture of Dorian Gray,Drama,7.5,15790,1945,110
206,15699,Scarlet Street,Crime,7.7,20896,1945,102
207,15734,Spellbound,Drama,7.5,55942,1945,111
208,15773,They Were Expendable,Drama,7.2,10018,1945,135
209,15779,The Three Caballeros,Animation,6.3,16854,1944,71
210,15897,Beauty and the Beast,Drama,7.9,29600,1946,93
211,15903,The Big Sleep,Crime,7.9,94688,1946,114
212,15912,The Blue Dahlia,Crime,7.1,10311,1946,96
213,16017,Duel in the Sun,Drama,6.7,10247,1946,129
214,16062,Gilda,Drama,7.6,38128,1946,110
215,16071,Great Expectations,Adventure,7.8,27988,1946,118
216,16122,It's a Wonderful Life,Drama,8.6,547706,1946,130
